"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","03","12","4","20231112183444-Zahlen.fs","20231112183544"
"GdP23","02","03","12","4","20231112183551-Zahlen.fsproj","20231112183632"
"GdP23","02","06","10","4","20231112183806-Zahlen.fs","20231112183834"
"GdP23","02","05","2","4","20231112184056-Zahlen.fs","20231112192036"
"GdP23","02","03","12","4","20231112185246-Zahlen.fs","20231112185325"
"GdP23","02","06","10","4","20231112185307-Zahlen.fs","20231112185410"
"GdP23","02","06","10","4","20231112185416-Zahlen.fs","20231112185451"
"GdP23","02","03","12","4","20231112190205-Zahlen.fs","20231112190327"
"GdP23","02","03","12","4","20231112190543-Zahlen.fs","20231112190733"
"GdP23","02","03","12","4","20231112190747-Zahlen.fs","20231112191748"
"GdP23","02","06","10","4","20231112191057-Zahlen.fs","20231112191539"
"GdP23","02","06","10","4","20231112191539-Zahlen.fs","20231112191715"
"GdP23","02","06","10","4","20231112191715-Zahlen.fs","20231112191725"
"GdP23","02","06","10","4","20231112191729-Zahlen.fs","20231112191809"
"GdP23","02","03","12","4","20231112191748-Zahlen.fs","20231112192048"
"GdP23","02","06","10","4","20231112191815-Zahlen.fs","20231112191919"
"GdP23","02","06","10","4","20231112191924-Zahlen.fs","20231112191942"
"GdP23","02","06","10","4","20231112191958-Zahlen.fsproj","20231112192016"
"GdP23","02","06","10","4","20231112192059-Zahlen.fs","20231112193605"
"GdP23","02","05","2","4","20231112194019-Zahlen.fs","20231113104255"
"GdP23","02","03","8","4","20231112195006-Zahlen.fs","20231112200107"
"GdP23","02","03","8","4","20231112200114-B02A04T08.fs","20231112200153"
"GdP23","02","03","12","2","20231112200240-Gdp Übungsblatt2 Nr2.pdf","20231112200300"
"GdP23","02","11","10","4","20231112200856-Zahlen.fs","20231112201111"
"GdP23","02","11","10","4","20231112201118-Zahlen.fs","20231112201452"
"GdP23","02","11","10","4","20231112201459-Zahlen.fs","20231112202331"
"GdP23","02","04","11","4","20231112201644-Zahlen.fs","20231112222111"
"GdP23","02","11","10","4","20231112202337-Zahlen.fs","20231113111047"
"GdP23","02","01","17","4","20231112205206-Zahlen.fs","20231112205312"
"GdP23","02","01","17","4","20231112205206-Mini.fs","20231112205305"
"GdP23","02","01","17","4","20231112205206-Zahlen.fsproj","20231112205313"
"GdP23","02","01","17","4","20231112205206-launch.json","20231112205324"
"GdP23","02","01","17","4","20231112205206-project.assets.json","20231112205325"
"GdP23","02","01","17","4","20231112205207-project.nuget.cache","20231112205326"
"GdP23","02","01","17","4","20231112205207-Zahlen.fsproj.nuget.dgspec.json","20231112205317"
"GdP23","02","01","17","4","20231112205207-Zahlen.fsproj.nuget.g.props","20231112205318"
"GdP23","02","01","17","4","20231112205207-Zahlen.fsproj.nuget.g.targets","20231112205319"
"GdP23","02","01","17","4","20231112205207-Zahlen.deps.json","20231112205309"
"GdP23","02","01","17","4","20231112205207-Zahlen.dll","20231112205208"
"GdP23","02","01","17","4","20231112205207-Zahlen.exe","20231112205311"
"GdP23","02","01","17","4","20231112205207-Zahlen.pdb","20231112205208"
"GdP23","02","01","17","4","20231112205207-FSharp.Core.dll","20231112205247"
"GdP23","02","01","17","4","20231112205207-Zahlen.runtimeconfig.json","20231112205322"
"GdP23","02","01","17","4","20231112205207-apphost.exe","20231112205323"
"GdP23","02","01","17","4","20231112205208-Zahlen.AssemblyInfo.fs","20231112205306"
"GdP23","02","01","17","4","20231112205208-Zahlen.AssemblyInfoInputs.cache","20231112205307"
"GdP23","02","01","17","4","20231112205208-Zahlen.assets.cache","20231112205308"
"GdP23","02","01","17","4","20231112205208-Zahlen.dll","20231112205310"
"GdP23","02","01","17","4","20231112205208-Zahlen.fsproj.AssemblyReference.cache","20231112205314"
"GdP23","02","01","17","4","20231112205208-Zahlen.fsproj.CopyComplete","20231112205314"
"GdP23","02","01","17","4","20231112205208-Zahlen.fsproj.CoreCompileInputs.cache","20231112205316"
"GdP23","02","01","17","4","20231112205208-Zahlen.fsproj.FileListAbsolute.txt","20231112205316"
"GdP23","02","01","17","4","20231112205208-Zahlen.genruntimeconfig.cache","20231112205320"
"GdP23","02","01","17","4","20231112205208-Zahlen.pdb","20231112205321"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205208"
"GdP23","02","01","17","4","20231112205208-FSharp.Core.resources.dll","20231112205302"
"GdP23","02","01","17","4","20231112205405-Zahlen.fs","20231112205800"
"GdP23","02","01","17","4","20231112205405-Mini.fs","20231112205803"
"GdP23","02","01","17","4","20231112205405-Zahlen.fsproj","20231112205441"
"GdP23","02","01","17","4","20231112205810-Zahlen.fs","20231112214359"
"GdP23","02","01","14","4","20231112205955-Zahlenn1.fs","20231112215109"
"GdP23","02","01","17","4","20231112214359-Zahlen.fs","20231112214406"
"GdP23","02","01","14","4","20231112220144-Zahlenn1.fs","20231113035358"
"GdP23","02","03","19","4","20231112221020-Zahlen.fs","20231112221857"
"GdP23","02","05","16","4","20231112221506-Zahlen.Abgabe.S.Wiedemann.fs","20231112221644"
"GdP23","02","03","18","4","20231112221549-Zahlen.fs","20231112221700"
"GdP23","02","05","16","4","20231112221847-Zahlen.Abgabe.S.Wiedemann.fs","20231112222755"
"GdP23","02","05","16","4","20231112222800-Zahlen.Wiedemann.fs","20231112223135"
"GdP23","02","05","16","4","20231112223147-Zahlen.Abgabe.Wiedemann.fs","20231112223521"
"GdP23","02","05","16","4","20231112223518-Zahlen.fs","20231112223643"
"GdP23","02","05","16","4","20231112223651-Zahlen.fs","20231112223929"
"GdP23","02","05","16","4","20231112223932-Zahlen.Abgabe.Wiedemann.fs","20231112224248"
"GdP23","02","02","2","4","20231112230634-Zahlen.fs","20231112231622"
"GdP23","02","02","2","4","20231112231622-Zahlen.fs","20231112231908"
"GdP23","02","05","4","4","20231112235910-Zahlen.fs","20231113180541"
"GdP23","02","05","10","4","20231113240431-Mini.fs","20231113240502"
